asdf_id,onshore_petroleum_v12.none.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
156,0.0,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,0.0,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,0.0,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,0.0,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,0.0,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,0.0,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,0.0,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,0.0,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,0.0,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,0.0,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,0.0,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,0.0,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,0.0,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,0.0,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,0.0,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,0.0,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,0.0,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,0.0,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,0.0,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,0.0,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,0.0,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
