asdf_id,srtm_elevation_500m.none.mean,srtm_elevation_500m.none.max,srtm_elevation_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
200,3019.757483,4262,1854,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,2745.254172,3560,2224,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,2801.562649,3374,2051,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,2276.479012,3139,1533,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,3795.043054,4669,2456,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,2971.067839,3706,1985,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,2650.779713,3706,2038,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,4112.138572,5526,1376,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,3996.493144,5970,904,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,804.45535,1962,263,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,1268.388366,4040,208,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,333.3107674,1072,178,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,366.2749674,1191,174,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,166.2682905,584,132,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,311.7177221,1540,163,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,172.6411311,223,139,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,151.5924531,183,120,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
