system:index,agriculture,country,id,level,name,system:time_start,total_area,urban,year,.geo
2012_01_01_000000000000000000fb,1762.038154420773,Bolivia,251,Admin2,Cocapata,1325376000000,7138.3926445087745,0.03691530710784314,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000010a,615.2924819063111,Bolivia,266,Admin2,Villa Tunari,1325376000000,11215.668219287129,2.923877427144608,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000010b,74.09686339797794,Bolivia,267,Admin2,Chimoré,1325376000000,2823.6634205420078,2.567326390625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000010c,887.1275006264709,Bolivia,268,Admin2,Tiraque,1325376000000,1990.5467890162258,1.069780515625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000010d,7.613891127941177,Bolivia,269,Admin2,Shinahota,1325376000000,741.4302663954786,1.568920557230392,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000111,328.7762813824758,Bolivia,273,Admin2,Vacas,1325376000000,348.670823692472,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000112,833.0923568663603,Bolivia,274,Admin2,Pocona,1325376000000,914.793683273244,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000011b,54.465791315808815,Bolivia,283,Admin2,Puerto Villarroel,1325376000000,1974.69971924461,1.497605265625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000124,1325.4529229247544,Bolivia,292,Admin2,Independencia,1325376000000,1502.5917773961326,4.060776874632353,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000012a,756.676284257353,Bolivia,298,Admin2,Pojo,1325376000000,2406.9147757992,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000012b,58.44268566476715,Bolivia,299,Admin2,Entre Ríos,1325376000000,2210.9224002055657,5.990603875,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000012d,327.50415480502437,Bolivia,301,Admin2,Colomi,1325376000000,520.5820033787703,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000012e,393.6933770488359,Bolivia,302,Admin2,Alalay,1325376000000,418.4975434307534,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000012f,546.7613590840078,Bolivia,303,Admin2,Vila Vila,1325376000000,598.9140414395789,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000014d,1694.7788342933832,Bolivia,333,Admin2,Mizque,1325376000000,1886.7038351196243,0.4279475,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000014e,1769.5893816484672,Bolivia,334,Admin2,Pasorapa,1325376000000,2396.771966582727,0.855928625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000000e,26.290776453615187,Bolivia,14,Admin2,Chacarilla,1325376000000,362.53827493235684,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000010,179.76452008125014,Bolivia,16,Admin2,Papel Pampa,1325376000000,863.0396647045781,0.21396734375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000011,370.7536428316176,Bolivia,17,Admin2,Umala,1325376000000,872.5374654169203,0.855813203125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000014,95.76897897383577,Bolivia,20,Admin2,San Pedro Cuarahuara,1325376000000,794.6104294993397,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000019,960.4558018444242,Bolivia,25,Admin2,Coro Coro,1325376000000,1102.36503808109,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000001b,655.9449932530019,Bolivia,27,Admin2,Sapahaqui,1325376000000,814.9076648245126,55.59055578216911,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000001c,595.9740583745098,Bolivia,28,Admin2,Cairoma,1325376000000,687.7106034454526,11.054474315134803,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000001d,1012.2680645093745,Bolivia,29,Admin2,Colquiri,1325376000000,1018.6654961262842,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000001e,821.7302442831499,Bolivia,30,Admin2,Ichoca,1325376000000,845.1009919074471,0.10990920870098038,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000029,335.5747624143994,Bolivia,41,Admin2,Ancoraimes,1325376000000,338.0542868428717,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000002b,382.18941927450976,Bolivia,43,Admin2,Puerto Carabuco,1325376000000,385.3038295705775,0.42782059375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000033,638.0155372580878,Bolivia,51,Admin2,Mocomoco,1325376000000,650.4472990342921,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000003b,43.82636369485295,Bolivia,59,Admin2,Cajuata,1325376000000,717.6896014624341,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000003c,1086.4307957050232,Bolivia,60,Admin2,Inquisivi,1325376000000,3301.665605916403,2.666360600490196,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000003d,395.6833117731621,Bolivia,61,Admin2,Irupana,1325376000000,1359.772384863296,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000003e,36.286155024203424,Bolivia,62,Admin2,Chulumani,1325376000000,302.89043807855893,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000004b,351.79946738995125,Bolivia,75,Admin2,Tiahuanacu,1325376000000,354.7564361918512,1.0696584375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000006f,14.537983220649517,Bolivia,111,Admin2,Nazacara de Pacajes,1325376000000,14.783584382946167,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000070,1113.6639613033703,Bolivia,112,Admin2,Caquiaviri,1325376000000,1555.5858928251955,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000074,405.1251057911765,Bolivia,116,Admin2,Luribay,1325376000000,461.41725624897725,14.326779000428921,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000082,99.77633254895832,Bolivia,130,Admin2,Collana,1325376000000,101.18948659296609,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000086,471.09840667610257,Bolivia,134,Admin2,Callapa,1325376000000,1195.9546500837166,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000089,149.48211285453436,Bolivia,137,Admin2,Catacora,1325376000000,521.7356007724945,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000008a,556.127719268321,Bolivia,138,Admin2,Yaco,1325376000000,597.192186845418,0.8557955,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000008b,910.8299795139097,Bolivia,139,Admin2,Calacoto,1325376000000,3928.4781241424366,0.8231553567401961,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000008e,1118.0910871892168,Bolivia,142,Admin2,Sica Sica,1325376000000,1737.9173193746674,2.1395411875,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000008f,358.7471080770832,Bolivia,143,Admin2,Patacamaya,1325376000000,556.6960115509135,4.4929655,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000090,340.46920330949763,Bolivia,144,Admin2,Colquencha,1325376000000,346.16607968643035,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000091,567.7709368012254,Bolivia,145,Admin2,Santiago de Machaca,1325376000000,1307.8146050268474,1.28367528125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000095,301.46948967947304,Bolivia,149,Admin2,Malla,1325376000000,348.14981004080573,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000096,447.40842603504916,Bolivia,150,Admin2,Comanche,1325376000000,449.171139727531,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000097,456.2167832713237,Bolivia,151,Admin2,Calamarca,1325376000000,480.4682654055279,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000098,836.6556186503678,Bolivia,152,Admin2,Viacha,1325376000000,850.9458250760566,8.557374,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000099,25.348817945098034,Bolivia,153,Admin2,Villa Libertad Licoma,1325376000000,194.80927562271748,0.427877234375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000009a,660.1282826708334,Bolivia,154,Admin2,Quime,1325376000000,1002.4464248310869,3.3987442522671567,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000009b,17.679186076286772,Bolivia,155,Admin2,Huatajata,1325376000000,18.7637863533744,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000009c,680.2628416240196,Bolivia,156,Admin2,Laja,1325376000000,684.5786957573424,1.275198376102941,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000009d,479.6826872488358,Bolivia,157,Admin2,Mecapaca,1325376000000,528.3084097736391,25.522055494852943,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000009e,634.3503783601715,Bolivia,158,Admin2,Palca,1325376000000,748.8748602640355,4.711687207169118,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000009f,161.1147481033088,Bolivia,159,Admin2,Achocalla,1325376000000,177.78777931193963,14.516335051838238,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a0,229.86606217089448,Bolivia,160,Admin2,El Alto,1325376000000,352.79232608969994,115.90339244491425,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a1,309.188168181005,Bolivia,161,Admin2,Yanacachi,1325376000000,583.9644638441146,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a3,93.77907293296573,Bolivia,163,Admin2,Desaguadero,1325376000000,104.44128737876171,0.9169715301470589,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a4,985.7771071548409,Bolivia,164,Admin2,Jesús de Machaca,1325376000000,1001.733518153644,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a5,189.4557758031249,Bolivia,165,Admin2,Guaqui,1325376000000,191.85199930783418,1.7106239700980392,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a6,12.76817774515931,Bolivia,166,Admin2,Tito Yupanqui,1325376000000,15.12941784008625,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a7,1164.541407214153,Bolivia,167,Admin2,Pucarani,1325376000000,1259.96844565539,0.85570984375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a8,86.61333982935056,Bolivia,168,Admin2,Combaya,1325376000000,87.43468367526452,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a9,40.381282702757346,Bolivia,169,Admin2,Coroico,1325376000000,1094.7279621959467,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000aa,41.42677273051472,Bolivia,170,Admin2,Coripata,1325376000000,685.2411024581148,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000ab,112.09694419466915,Bolivia,171,Admin2,Quiabaya,1325376000000,118.11271805535821,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000ac,155.54035638841907,Bolivia,172,Admin2,Aucapata,1325376000000,233.00443452998041,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
