asdf_id,globalsolaratlas_pvout.none.mean,globalsolaratlas_pvout.none.max,globalsolaratlas_pvout.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
165,5.77373062907,5.92999982834,5.29699993134,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,5.93002739835,6.01499986649,5.8639998436,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,5.42718834152,5.90000009537,3.78299999237,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,4.65952300486,5.39300012589,4.1939997673,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,3.60995643503,4.31199979782,2.68499994278,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,3.78418767814,4.48999977112,2.67700004578,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,4.47638949326,4.9390001297,3.69000005722,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,4.10855442073,4.88100004196,3.36999988556,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,5.60311808094,5.71299982071,5.09499979019,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,4.41601418447,4.95200014114,3.44899988174,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,3.85035411787,4.08699989319,3.21900010109,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,4.10481165574,5.55700016022,2.69400000572,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,3.87616477609,5.15999984741,2.72600007057,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,3.74071492254,4.33400011063,3.27900004387,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,4.52802121534,5.17999982834,3.61899995804,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,3.71776944491,5.21799993515,2.36800003052,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,3.75192443038,4.07100009918,3.08200001717,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,3.75305155225,4.1360001564,2.79800009727,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,3.84603105044,5.45100021362,2.69099998474,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,5.59698553788,5.79799985886,5.03999996185,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,5.9924320375,6.22300004959,5.64799976349,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,4.69870552928,5.35699987411,3.91499996185,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,5.47927467069,5.65000009537,5.19299983978,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,5.59724602235,5.77400016785,5.28100013733,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,5.3664778686,5.71299982071,4.5609998703,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,4.38456176135,4.67600011826,3.91199994087,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,3.98286578624,4.08699989319,3.76099991798,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,3.81187089787,4.62099981308,2.87199997902,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,4.0291424255,4.15299987793,3.72300004959,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,4.05199479706,4.44600009918,3.49799990654,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,5.59899088004,5.78700017929,5.16599988937,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,5.88165462992,5.99499988556,5.74599981308,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,4.02030345385,4.11999988556,3.78299999237,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,4.65419734086,4.81799983978,4.41800022125,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,4.59354479497,4.88700008392,4.29500007629,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,5.05588355589,5.41800022125,4.32499980927,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,5.27914590968,5.44000005722,4.88700008392,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,5.25908842645,5.46700000763,4.73299980164,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,4.83031374646,4.99599981308,4.492000103,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,5.384207453,5.66699981689,4.97100019455,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,5.0979030627,5.36299991608,4.62400007248,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,4.87081391412,5.06199979782,4.57700014114,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,4.09837925046,5.43699979782,2.7650001049,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,4.25295745323,5.45100021362,2.4279999733,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
