asdf_id,udel_air_temp_v501_mean.2012.max,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2012.min,udel_air_temp_v501_mean.2013.max,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2013.min,udel_air_temp_v501_mean.2014.max,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2014.min,udel_air_temp_v501_mean.2015.max,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2015.min,udel_air_temp_v501_mean.2016.max,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2016.min,udel_air_temp_v501_mean.2017.max,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2017.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
60,25.9916666667,18.0493598381,5.84166666667,25.8416666667,18.0857889497,5.9,26.0916666667,18.2320566978,5.99166666667,26.2833333333,18.3586931866,6.09166666667,26.575,18.8448179053,6.675,26.4,18.4528988075,6.04166666667,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,23.8,18.4329408732,14.725,23.725,18.5115469738,14.9333333333,23.9583333333,18.69669175,15.0833333333,24.1083333333,18.7347067964,15.025,24.425,19.1702639002,15.5416666667,24.2666666667,18.8808468919,15.175,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,23.8,20.277047651,14.725,23.725,20.3456469086,14.9333333333,23.9583333333,20.5579684071,15.0916666667,24.1083333333,20.5738718767,15.025,24.425,20.9551711585,15.5416666667,24.2666666667,20.7310173691,15.175,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,10.425,8.7499316981,7.80833333333,10.2416666667,8.746421773,7.83333333333,10.5666666667,9.01985023325,8.09166666667,10.75,9.15471575747,8.20833333333,11.3083333333,9.74923272761,8.825,10.9916666667,9.30602692653,8.35,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,8.41666666667,6.92917700223,6.63333333333,8.39166666667,6.88929605172,6.60833333333,8.59166666667,7.05060444772,6.76666666667,8.825,7.31797154577,7.025,9.38333333333,7.81600038411,7.525,8.9,7.25514989961,6.95833333333,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,21.4333333333,15.3343140212,9.275,20.7916666667,14.6579396327,7.81666666667,21.1833333333,14.9491609043,7.36666666667,21.6583333333,15.4647823066,9.04166666667,20.9,14.8320909724,7.90833333333,20.9,14.1980405187,6.54166666667,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,8.93333333333,6.8034100704,-2.7,8.64166666667,6.49162702321,-3.35833333333,8.84166666667,6.67930590895,-3.14166666667,9.39166666667,7.24806754037,-2.15,9.74166666667,7.55281911722,-2.18333333333,9.28333333333,7.12558318982,-2.525,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,4.83333333333,2.78375043812,1.64166666667,4.35,2.23620040833,1.05833333333,4.55833333333,2.46058791577,1.29166666667,5.33333333333,3.28910182949,2.15,5.475,3.3665517997,2.19166666667,5.1,3.00760597381,1.84166666667,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,26.2583333333,25.1358396418,24.175,25.9916666667,24.7084881022,23.7,26.2666666667,25.092502395,24.0,26.9166666667,25.7955443975,24.675,26.4666666667,25.475835936,24.2166666667,26.6666666667,25.7755276917,24.35,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,27.3833333333,25.9170775301,24.7083333333,27.0416666667,25.4885685637,24.2416666667,27.3333333333,25.835713615,24.6,27.75,26.2896584241,25.05,27.525,25.9442410574,24.6083333333,27.7,26.1956208519,24.9666666667,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,27.5,26.928903022,26.6,27.2416666667,26.6197678922,26.3166666667,27.425,26.8848409879,26.6083333333,28.1,27.4918435642,27.1916666667,27.6083333333,27.0273419897,26.7666666667,27.875,27.2873544084,26.9833333333,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,4.83333333333,2.24156659376,1.64166666667,4.35,1.67702908059,1.05833333333,4.55833333333,1.90566345889,1.29166666667,5.33333333333,2.74833360874,2.15,5.475,2.80879609558,2.19166666667,5.1,2.45409714054,1.84166666667,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,24.425,22.5140053223,20.7916666667,24.1333333333,22.4109128236,20.6166666667,24.525,22.629686628,20.9583333333,24.675,22.656757153,20.925,23.9916666667,22.1111909696,20.3083333333,24.7333333333,22.8631168891,21.1333333333,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,27.775,27.347999536,26.8833333333,27.2,27.0388923608,26.6166666667,27.3333333333,27.1360083178,26.7166666667,28.0,27.6580767507,27.2916666667,27.5583333333,27.2882370336,26.95,27.825,27.6445105956,27.3166666667,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,27.775,27.3230069262,26.8333333333,27.2416666667,26.9961607234,26.475,27.425,27.1824210886,26.7666666667,28.1,27.7080983578,27.3,27.6083333333,27.2909871102,26.925,27.875,27.6038485096,27.125,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,8.525,6.76347409187,6.39166666667,8.65,6.88159313129,6.50833333333,8.86666666667,7.07761691622,6.7,8.83333333333,7.13373607041,6.775,9.24166666667,7.52830748259,7.16666666667,8.94166666667,7.18702171912,6.81666666667,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,18.1916666667,12.7659523709,9.73333333333,18.075,12.3472288289,8.85833333333,18.3083333333,12.5731744243,8.78333333333,18.4916666667,12.9567211583,9.73333333333,18.7916666667,12.920851864,9.25,18.2166666667,12.159828387,8.21666666667,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
