asdf_id,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
175,8176.23242188,306.950012207,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,760918.6875,2507.19995117,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,24170.3554688,2327.67993164,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,50235.6210938,3465.11010742,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,11632.578125,759.900024414,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,27480.203125,4417.81005859,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,9123.359375,1687.88000488,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,16782.1328125,1836.41003418,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,14155.9375,3019.45996094,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,12005.1123047,1655.48010254,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,15731.921875,226.700012207,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,14005.1103516,1693.95996094,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,16024.4570312,587.729980469,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,21955.9023438,1857.60998535,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,16075.8535156,2615.06982422,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,4541.76757812,1114.23999023,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,2722.69921875,1611.65991211,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,8804.23828125,983.880004883,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
