asdf_id,srtm_slope_500m.none.mean,srtm_slope_500m.none.max,srtm_slope_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
123,6.63100327694,19.4154682159,0.952960073948,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,0.264230818655,1.61439609528,0.0,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,10.1535235836,31.9718704224,0.133065894246,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,0.111762124582,10.1068887711,0.0,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,0.318883412771,22.9067287445,0.0,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,6.18514739611,19.8026237488,0.111545689404,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,4.14176869604,21.5560264587,0.0,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,4.14251812918,14.5964927673,0.0489160679281,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,7.7070244801,25.7802848816,0.0,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,0.913721843986,2.9328083992,0.0218759346753,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,1.65717757719,13.5875120163,0.0,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,2.07124663429,11.0536003113,0.0,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,5.91091810286,25.4345664978,0.0218759346753,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,2.44112482711,23.5342311859,0.0,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,5.12688459845,19.1017074585,0.0437518656254,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,6.32280034358,28.7633495331,0.0691777542233,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,2.63434183413,26.7258338928,0.0,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,7.38405786291,23.1879196167,0.0489160679281,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,2.58368910929,20.580078125,0.0218759346753,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,4.0060000546,33.4193115234,0.0,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,3.73926016631,23.5966377258,0.0,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,4.64409591477,19.2789707184,0.078874759376,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,3.98627229753,20.3127746582,0.0,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
