asdf_id,diamond_distance_201708.none.min,diamond_distance_201708.none.mean,diamond_distance_201708.none.max,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
151,244987.572469,260602.587257,276998.088934,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,228026.191041,249587.036682,270749.628931,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,240565.181828,248658.824658,255839.791762,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,219723.20336,250879.625257,277384.906148,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,211274.218589,213739.222739,216754.126341,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,220457.499602,240129.183682,260615.91719,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,222121.984354,239048.218042,254742.976194,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,209294.627206,231029.86344,251958.240304,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,224190.636775,236217.702661,247548.897123,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,194770.370115,217961.17496,234986.69943,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,189974.083046,204002.754249,215895.987436,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,318299.424294,344498.170219,364561.16442,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,263982.188162,269260.599119,275266.416677,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,252763.681007,270516.860189,288131.434779,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,249901.303494,259541.315048,271430.003082,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,227619.065789,229561.928747,231908.230114,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,181793.603786,215358.177749,244890.109486,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,175492.213428,184697.475899,191000.695156,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,155971.851126,174779.374026,196630.042424,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,157968.792878,178732.94885,200383.019587,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,157790.168264,165133.609205,172365.675163,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,142455.843933,152264.05719,161311.127278,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,263137.890389,279019.775483,294008.630378,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,668826.314945,704007.398189,738029.714158,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,108319.346286,120662.340262,133861.243781,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,127310.685044,179308.738122,228998.062176,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,124677.585125,158844.789625,186891.280474,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,135231.843295,173881.067054,202978.528524,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,163745.320619,177105.796929,194849.238002,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,78706.5779953,136139.982519,185246.908431,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,57528.4334114,90437.8266094,127215.665851,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,89637.2610404,113670.114914,139446.338108,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,101836.187656,140481.999744,186194.897882,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,607205.192504,634830.339537,667962.106044,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,225423.752921,233552.031124,243608.73583,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,634361.335943,657714.925707,687100.57142,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,580963.967604,598411.437936,614820.457779,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,601871.627829,630111.369078,670987.878041,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,602142.950872,632467.459479,664681.903062,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,646797.645049,665392.023492,688220.561003,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,653328.19517,672175.147226,690071.748877,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,105868.027227,134476.620668,163821.69749,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,685398.793833,722822.87746,768884.310585,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,663028.770072,706884.176764,750859.71952,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,556922.550448,582817.564158,614141.217234,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,221389.150469,227761.636789,232565.885694,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,671685.527879,710077.053004,740838.709456,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,619577.566457,635511.65188,649097.925421,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,609240.430611,629379.669148,650560.202137,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,595876.726133,618447.803139,640591.013585,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,555224.049552,569458.982347,588031.826456,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,559777.985958,580518.15343,602067.701882,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,577914.441193,603313.811497,627434.681227,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,489273.330749,513817.076428,544572.357583,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,543414.55839,576723.846371,605498.338527,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,567101.808924,589293.795396,611711.437396,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,130783.825559,155568.432561,183551.02449,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,119437.994498,165084.767214,196347.991989,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,38237.1572625,98426.9418061,161286.729422,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,0.0,81188.1572003,167281.72527,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,0.0,31272.3385658,64314.6413981,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,0.0,41760.1537941,75925.5261509,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,90063.6235738,161346.670256,260112.48234,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,46622.4325734,97314.1979498,162233.864575,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,0.0,66742.0620633,184164.37339,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,246950.416795,282758.255059,317959.84365,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
217,263472.764416,283400.52617,306898.866386,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
218,89739.8363359,191797.617279,295487.819496,ADM3,218,218,BOL,BOL-ADM3-33444609B10458910,Exaltación,ADM3
219,173785.127876,259986.38729,363167.079537,ADM3,219,219,BOL,BOL-ADM3-33444609B93314585,Riberalta,ADM3
