asdf_id,gpw_v4_rev11_density.2015.count,gpw_v4_rev11_density.2015.mean,gpw_v4_rev11_density.2015.max,gpw_v4_rev11_density.2015.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
170,854.729980469,39.1290735541,67.7612533569,12.450012207,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,147.129989624,19.8020637224,20.4533100128,10.7128095627,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,288.940002441,23.8318046771,24.5894851685,10.712808609,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,691.329956055,18.8338104408,55.9902000427,9.10034275055,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,2168.64990234,6.30757650105,15.6871089935,4.94567203522,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,306.950012207,32.5844788839,33.9993553162,4.01400375366,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,2507.19995117,370.666218137,2631.39794922,4.01400375366,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,2327.67993164,12.6790406765,65.0314941406,4.01400375366,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,3465.11010742,17.6391337267,67.7612533569,2.69601655006,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,759.900024414,18.7426983198,38.6265945435,5.55969524384,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,4417.81005859,7.90463390803,381.876831055,4.01400375366,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,1687.88000488,6.64412417968,25.3986988068,1.64108359814,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,1836.41003418,11.1025364692,12.0341930389,1.64108383656,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,3019.45996094,5.70324880173,29.0979099274,1.64108359814,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,1655.48010254,9.08026497093,167.544555664,5.33950996399,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,226.700012207,99.3105031992,656.449890137,0.0,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,1693.95996094,10.2779338249,11.8097915649,4.94567203522,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,587.729980469,34.4276890333,167.544586182,15.678814888,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,1857.60998535,14.7565568864,21.9982757568,5.96620893478,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,2615.06982422,7.67368916819,17.3876724243,7.46708059311,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,1114.23999023,5.08820336916,15.3624162674,4.94567155838,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,1611.65991211,2.11991174243,6.00430393219,0.942519366741,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
