asdf_id,dist_to_groads.none.mean,dist_to_groads.none.max,dist_to_groads.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
197,4815.08670723,17242.782275,0.0,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,7323.80784594,14334.700774,0.0,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,5433.07014742,12593.1201488,0.0,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,5702.18783145,19904.5616735,0.0,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,5121.05936465,15293.5827201,0.0,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,6557.60852378,19363.8030447,0.0,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,4426.86717604,12808.3122955,0.0,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,3766.37943844,13762.6762092,0.0,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,4357.38069456,14471.73,0.0,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,5095.91617933,13508.066353,0.0,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,3751.62311559,10744.8627333,0.0,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,4676.68782524,15423.9529979,0.0,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,15351.1260986,40341.3132063,0.0,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,8102.86773738,43959.0428982,0.0,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,22773.0881003,44599.0866648,0.0,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,4711.39750957,21035.5331152,0.0,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,11546.5656275,43118.1889277,0.0,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,11829.2875191,44012.3905938,0.0,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,10948.2323196,39644.2591516,0.0,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,13155.2545452,25603.83,0.0,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
217,21486.0564481,47589.5654262,0.0,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
