asdf_id,dist_to_water.none.mean,dist_to_water.none.max,dist_to_water.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
153,26140.6197853,38196.3996679,14407.3508456,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,39158.0470773,63408.6158538,15350.4740219,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,1886.78133201,4452.84,0.0,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,32456.0598308,44812.5337727,17216.3547744,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,74675.9321898,86564.8138864,58787.6049008,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,79849.0411493,93625.5029184,64968.8124179,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,61869.1755438,71669.5088077,50104.8401044,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,44652.813962,59318.1894786,35345.7729462,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,82148.8869781,92910.4580515,66625.9942713,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,34800.7535364,56764.5101163,6738.19905095,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,2154.40181438,6767.31952213,0.0,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,15446.8160691,38020.8587668,0.0,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,6105.10370288,14968.8141987,0.0,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,578.600863597,2226.42,0.0,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,22597.6080053,44845.3378777,0.0,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,15319.8618288,23680.6154436,8959.64119542,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,73457.2864562,90842.1844852,56051.592431,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,67857.6994982,91111.0857705,41735.9801549,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,38630.8533922,47912.5657523,32564.9485943,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,53459.7423176,63377.6373109,43970.2965478,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,43779.9662293,59703.1769428,28774.621036,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,14408.2344167,35520.2078071,0.0,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,56638.0720782,71924.4248826,41606.5668322,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,56301.1053278,78317.1322662,35597.7983934,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,41952.8933672,72919.3660304,14645.1356863,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,24519.6549886,68482.5463012,0.0,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,28807.9185771,44154.8480094,10030.6220577,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,51928.1124246,75094.7300691,22515.2313884,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,16266.0988824,34898.3341215,0.0,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,63197.6307494,79097.3071643,43494.2982867,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,71760.9526717,103547.048335,34976.9190488,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,74512.6598575,105517.265873,46492.5110004,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,1920.59871018,6295.90856279,0.0,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,16232.3358363,37969.1736055,0.0,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,39270.2571914,49718.5855333,25984.4829687,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,58751.8708457,87033.5434012,32421.8674316,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,23736.8449783,56393.97574,0.0,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,45777.0580321,59445.281028,28259.2991836,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,48612.1501394,80295.2980811,18924.57,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,64852.8130366,84838.4809231,35530.3678059,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,22746.5508874,57222.6445593,0.0,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,47418.9468427,81986.6527073,1041.36194102,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,24901.7402623,54081.2949206,0.0,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,316.065536435,1541.63012287,0.0,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,70237.2045667,96621.2575891,32855.9984661,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,45621.1489334,50718.6979207,38799.5719338,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,32512.8105514,45074.8962436,18403.0810971,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,12385.1377699,27046.5430438,0.0,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,7942.42839922,20786.3521446,0.0,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
