asdf_id,udel_precip_v501_mean.2012.max,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2012.min,udel_precip_v501_mean.2013.max,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2013.min,udel_precip_v501_mean.2014.max,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2014.min,udel_precip_v501_mean.2015.max,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2015.min,udel_precip_v501_mean.2016.max,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2016.min,udel_precip_v501_mean.2017.max,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2017.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
61,107.508333333,85.6612688755,65.1333333333,106.225,81.9797065482,59.775,114.225,85.3119003464,58.75,109.816666667,83.4115948721,59.5416666667,92.9166666667,70.6789880638,50.1166666667,110.458333333,85.044838305,61.9583333333,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,107.508333333,96.4417054643,65.1333333333,106.225,93.7414953274,59.775,114.225,96.3317175848,58.75,109.816666667,95.8332258505,59.5416666667,92.9166666667,82.6719272143,50.1166666667,110.458333333,97.0427012636,61.9583333333,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,50.85,48.4809749568,42.6833333333,43.8083333333,42.5423912544,34.2166666667,47.7666666667,45.3832131175,37.2416666667,40.575,39.0788676654,30.8666666667,22.25,20.6977573635,14.4833333333,37.5083333333,35.7048686678,28.175,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,40.4666666667,36.213849438,35.3,37.4166666667,32.8766538856,32.275,37.925,32.8880419685,32.375,34.2916666667,30.9769101436,30.4916666667,22.15,21.7491651369,18.1166666667,31.775,30.7492165107,29.425,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,75.65,52.8048057327,27.2083333333,72.025,46.758681657,23.2666666667,73.5166666667,48.6741265425,26.9916666667,66.025,40.3463535614,17.8333333333,57.25,31.3651527801,13.675,68.4833333333,45.173947776,23.6,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,35.3,31.0301936169,17.2666666667,32.275,28.3704526232,16.2166666667,32.375,28.4055161882,16.45,30.4916666667,27.2220935771,16.0333333333,21.3583333333,20.6183626522,14.2333333333,29.425,26.6041641504,15.9583333333,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,24.5666666667,23.6034162198,23.0666666667,22.7583333333,22.1750316739,21.85,22.7666666667,22.1833650072,21.8583333333,21.7583333333,21.4372498511,21.2583333333,17.8833333333,17.8565763765,17.8416666667,21.2833333333,20.7321400221,20.425,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,119.108333333,91.0742150034,64.0416666667,120.9,72.0006799803,46.1833333333,127.141666667,96.4775738457,86.3666666667,100.5,66.4936361233,54.7166666667,93.8,60.4837350205,43.9833333333,121.35,90.0988041978,79.05,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,350.108333333,181.98413734,92.1416666667,325.258333333,151.803664409,58.2,369.091666667,195.833692561,102.541666667,338.683333333,166.100565206,73.0833333333,314.475,148.038993756,59.1833333333,357.558333333,188.495465857,102.966666667,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,152.733333333,133.097326066,123.383333333,146.875,138.691384636,134.633333333,174.666666667,142.295741773,123.4,136.016666667,115.711488429,102.158333333,116.558333333,98.2333465518,85.9666666667,156.958333333,128.840975164,112.041666667,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,24.5666666667,23.3486039692,23.0666666667,22.7583333333,22.0207286999,21.85,22.7666666667,22.0290620332,21.8583333333,21.7583333333,21.3523124342,21.2583333333,17.8833333333,17.8494982584,17.8416666667,21.2833333333,20.5863307898,20.425,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,61.0083333333,52.9162522998,48.0,46.8,42.7492794162,39.3083333333,73.4916666667,61.0372671259,53.375,66.4583333333,55.0800016389,45.375,65.7666666667,55.1790634044,45.175,65.9666666667,54.252842311,47.575,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,136.716666667,122.131631177,112.808333333,146.275,137.991812244,131.175,160.616666667,146.40486786,132.341666667,124.525,107.702064403,98.3583333333,124.508333333,114.816441271,106.383333333,133.316666667,120.659074972,107.875,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,158.1,126.822926491,112.808333333,151.0,137.578770514,131.175,186.75,142.735240462,127.183333333,147.7,111.449905296,98.3583333333,123.283333333,105.796492782,89.225,165.7,122.967129137,107.875,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,63.5083333333,63.4792858782,63.3416666667,57.4416666667,57.2848104092,56.5416666667,57.0,55.7476651747,55.4833333333,59.1666666667,58.49233253,58.35,51.8833333333,51.6814535204,50.725,59.7416666667,59.5775485454,58.8,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,59.8333333333,53.0044065111,41.9166666667,47.275,41.1874012349,33.1583333333,51.0083333333,44.7778345189,34.6333333333,42.2083333333,36.7913073526,28.7666666667,28.675,22.7811460042,16.0166666667,45.3,37.9049311489,27.025,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,59.8333333333,50.3195622063,47.775,47.275,38.533793126,36.2333333333,51.5166666667,42.726300582,40.0083333333,42.2083333333,34.8062898539,32.5,28.675,20.1438456529,17.5833333333,45.3,34.7379684803,31.8583333333,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,31.05,17.4140569125,4.34166666667,29.0083333333,16.2765160917,3.93333333333,28.675,16.0537736674,3.775,27.175,15.8124485663,4.625,20.9666666667,12.0962149554,2.75,25.5833333333,14.4286098798,3.6,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
