asdf_id,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
232,57.05370386,56.72811805,ADM3,232,232,BOL,BOL-ADM3-33444609B27408509,Chuquihuta Ayllu Jucumani,ADM3
233,48.10527657,47.25286881,ADM3,233,233,BOL,BOL-ADM3-33444609B21368266,Bolpebra,ADM3
234,50.60364721,49.67254829,ADM3,234,234,BOL,BOL-ADM3-33444609B21491486,Filadelfia,ADM3
235,54.08695681,53.4263014,ADM3,235,235,BOL,BOL-ADM3-33444609B19655093,Alto Beni,ADM3
236,53.41117431,52.77754172,ADM3,236,236,BOL,BOL-ADM3-33444609B96037932,Caranavi,ADM3
237,49.78141964,49.28664701,ADM3,237,237,BOL,BOL-ADM3-33444609B8469227,Huarina,ADM3
238,55.29897557,54.89860245,ADM3,238,238,BOL,BOL-ADM3-33444609B76614989,Bolivar,ADM3
239,49.93803733,49.44545026,ADM3,239,239,BOL,BOL-ADM3-33444609B43692068,Chua Cocani,ADM3
240,50.11970971,49.63459784,ADM3,240,240,BOL,BOL-ADM3-33444609B78666461,Humanata,ADM3
241,57.59589123,56.95779875,ADM3,241,241,BOL,BOL-ADM3-33444609B92881157,Villa Vaca Guzmán,ADM3
242,50.02483758,49.51755556,ADM3,242,242,BOL,BOL-ADM3-33444609B42689736,Batallas,ADM3
