asdf_id,distance_to_drugdata_201708.none.mean,distance_to_drugdata_201708.none.max,distance_to_drugdata_201708.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
105,364050.965015,382371.443994,346749.572828,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,67247.1959708,84540.5953476,49667.280395,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,265619.309719,272246.233238,257198.597215,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,253628.600771,261932.902418,245813.401926,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,237100.909713,250067.38015,223732.518606,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,170556.814143,182999.450199,159630.773722,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,94466.0315817,97491.5918333,91738.6139304,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,108751.283426,153661.726032,70018.5971369,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,242407.575418,265488.414103,217411.464778,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,196237.329514,237021.097587,149965.25508,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,295114.967845,327261.819763,260159.687143,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,43102.4153154,56244.884975,28122.8709317,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,157442.816561,169604.856554,145016.657725,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,76516.0697499,92390.5012145,61442.6683418,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,38206.5714031,45253.5822416,28857.5337386,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,53144.2792452,66610.03094,38017.324894,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,37514.6055245,43016.6976594,30731.0646447,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,30076.9189131,35573.8100037,24580.3342107,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
