system:index,country,id,level,name,system:time_start,total_volume,year,.geo
2015_000000000000000000a0,Bolivia,160,Admin2,El Alto,1420070400000,3.9674003666274494E8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000a1,Bolivia,161,Admin2,Yanacachi,1420070400000,321330.44313725486,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000a3,Bolivia,163,Admin2,Desaguadero,1420070400000,2079592.9490196079,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000a4,Bolivia,164,Admin2,Jesús de Machaca,1420070400000,1773223.91372549,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000a5,Bolivia,165,Admin2,Guaqui,1420070400000,2438513.9686274515,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000a6,Bolivia,166,Admin2,Tito Yupanqui,1420070400000,231827.38431372546,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000a7,Bolivia,167,Admin2,Pucarani,1420070400000,7519862.960784309,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000a8,Bolivia,168,Admin2,Combaya,1420070400000,276760.2745098039,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000a9,Bolivia,169,Admin2,Coroico,1420070400000,1933991.7215686275,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000aa,Bolivia,170,Admin2,Coripata,1420070400000,1251055.7450980395,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ab,Bolivia,171,Admin2,Quiabaya,1420070400000,262074.25490196075,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ac,Bolivia,172,Admin2,Aucapata,1420070400000,495482.75294117647,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ad,Bolivia,173,Admin2,Ayo Ayo,1420070400000,1238283.9490196074,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000af,Bolivia,175,Admin2,Tipuani,1420070400000,460643.34117647057,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000b0,Bolivia,176,Admin2,La Paz,1420070400000,3.513983139450981E8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000b1,Bolivia,177,Admin2,Sorata,1420070400000,2248701.1019607843,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000b2,Bolivia,178,Admin2,La Asunta,1420070400000,4221519.9843137255,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000b3,Bolivia,179,Admin2,Chuma,1420070400000,2430411.709803922,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000b4,Bolivia,180,Admin2,Guanay,1420070400000,1281555.3176470583,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000b5,Bolivia,181,Admin2,Teoponte,1420070400000,992697.588235294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000b6,Bolivia,182,Admin2,Mapiri,1420070400000,1857209.9215686272,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000b7,Bolivia,183,Admin2,Charazani,1420070400000,1259687.1254901958,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000b9,Bolivia,185,Admin2,Copacabana,1420070400000,3618718.372549019,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000c0,Bolivia,192,Admin2,Tacacoma,1420070400000,753165.4745098039,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000c4,Bolivia,196,Admin2,San Pedro de Tiquina,1420070400000,407309.87450980395,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000cf,Bolivia,207,Admin2,Curva,1420070400000,241454.2705882353,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000d0,Bolivia,208,Admin2,Pelechuco,1420070400000,666617.3411764705,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000d1,Bolivia,209,Admin2,Palos Blancos,1420070400000,4455088.435294118,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000d2,Bolivia,210,Admin2,Apolo,1420070400000,2803711.6549019604,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000d4,Bolivia,212,Admin2,San Buenaventura,1420070400000,1137938.0352941179,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000e6,Bolivia,230,Admin2,Santiago de Huata,1420070400000,1470838.043137255,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000e7,Bolivia,231,Admin2,Puerto Pérez,1420070400000,514658.5999999999,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000eb,Bolivia,235,Admin2,Alto Beni,1420070400000,856767.7098039216,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ec,Bolivia,236,Admin2,Caranavi,1420070400000,6840584.270588234,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ed,Bolivia,237,Admin2,Huarina,1420070400000,1336040.5882352942,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ef,Bolivia,239,Admin2,Chua Cocani,1420070400000,664602.8196078432,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000f0,Bolivia,240,Admin2,Humanata,1420070400000,449237.12549019617,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000f2,Bolivia,242,Admin2,Batallas,1420070400000,4308008.043137255,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000130,Bolivia,304,Admin2,Ixiamas,1420070400000,2436069.870588235,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000131,Bolivia,305,Admin2,Ayata,1420070400000,751397.7921568628,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000133,Bolivia,307,Admin2,Waldo Ballivián,1420070400000,313263.4666666666,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
