esaLandCover2012_grassland,esaLandCover2012_count,esaLandCover2012_sparse_vegetation,esaLandCover2012_bare_areas,esaLandCover2012_shrubland,esaLandCover2012_no_data,esaLandCover2012_rainfed_cropland,esaLandCover2012_water_bodies,esaLandCover2012_forest,esaLandCover2012_wetland,esaLandCover2012_mosaic_cropland,esaLandCover2012_irrigated_cropland,esaLandCover2012_snow_ice,esaLandCover2012_urban,esaLandCover2013_grassland,esaLandCover2013_count,esaLandCover2013_sparse_vegetation,esaLandCover2013_bare_areas,esaLandCover2013_shrubland,esaLandCover2013_no_data,esaLandCover2013_rainfed_cropland,esaLandCover2013_water_bodies,esaLandCover2013_forest,esaLandCover2013_wetland,esaLandCover2013_mosaic_cropland,esaLandCover2013_irrigated_cropland,esaLandCover2013_snow_ice,esaLandCover2013_urban,esaLandCover2014_grassland,esaLandCover2014_count,esaLandCover2014_sparse_vegetation,esaLandCover2014_bare_areas,esaLandCover2014_shrubland,esaLandCover2014_no_data,esaLandCover2014_rainfed_cropland,esaLandCover2014_water_bodies,esaLandCover2014_forest,esaLandCover2014_wetland,esaLandCover2014_mosaic_cropland,esaLandCover2014_irrigated_cropland,esaLandCover2014_snow_ice,esaLandCover2014_urban,esaLandCover2015_grassland,esaLandCover2015_count,esaLandCover2015_sparse_vegetation,esaLandCover2015_bare_areas,esaLandCover2015_shrubland,esaLandCover2015_no_data,esaLandCover2015_rainfed_cropland,esaLandCover2015_water_bodies,esaLandCover2015_forest,esaLandCover2015_wetland,esaLandCover2015_mosaic_cropland,esaLandCover2015_irrigated_cropland,esaLandCover2015_snow_ice,esaLandCover2015_urban,esaLandCover2016_grassland,esaLandCover2016_count,esaLandCover2016_sparse_vegetation,esaLandCover2016_bare_areas,esaLandCover2016_shrubland,esaLandCover2016_no_data,esaLandCover2016_rainfed_cropland,esaLandCover2016_water_bodies,esaLandCover2016_forest,esaLandCover2016_wetland,esaLandCover2016_mosaic_cropland,esaLandCover2016_irrigated_cropland,esaLandCover2016_snow_ice,esaLandCover2016_urban,id
1250,3168,65,99,245,0,71,25,220,7,50,0,0,1136,1250,3168,61,93,242,0,70,25,220,7,48,0,0,1152,1243,3168,59,88,242,0,70,25,219,7,47,0,0,1168,1239,3168,55,84,241,0,69,25,219,7,46,0,0,1183,1233,3168,60,85,241,0,69,25,219,7,46,0,0,1183,135
2597,26205,7166,15080,919,0,114,25,87,47,168,0,0,2,2602,26205,7161,15079,919,0,114,25,87,47,168,0,0,3,2748,26205,7062,15032,919,0,114,25,87,47,168,0,0,3,2748,26205,7062,15031,919,0,114,25,87,47,168,0,0,4,2706,26205,7096,15039,919,0,114,25,87,47,168,0,0,4,136
2553,5773,2392,446,376,0,0,4,0,0,2,0,0,0,2553,5773,2392,446,376,0,0,4,0,0,2,0,0,0,2553,5773,2392,446,376,0,0,4,0,0,2,0,0,0,2553,5773,2392,446,376,0,0,4,0,0,2,0,0,0,2455,5773,2490,446,376,0,0,4,0,0,2,0,0,0,137
1790,6566,3015,1184,401,0,9,0,92,0,74,0,0,1,1793,6566,3012,1184,401,0,9,0,92,0,74,0,0,1,1942,6566,2884,1163,401,0,9,0,92,0,74,0,0,1,1942,6566,2884,1163,401,0,9,0,92,0,74,0,0,1,1974,6566,2870,1145,401,0,9,0,92,0,74,0,0,1,138
12631,43065,16618,11898,1395,0,66,66,2,2,192,0,190,5,12625,43065,16674,11848,1395,0,66,66,2,2,192,0,190,5,12658,43065,16659,11830,1395,0,66,66,2,2,192,0,190,5,12658,43065,16659,11830,1395,0,66,66,2,2,192,0,190,5,12502,43065,16815,11816,1395,0,78,66,2,2,194,0,190,5,139
1626,2272,155,159,20,0,254,1,2,0,29,0,0,26,1638,2272,155,159,20,0,250,1,2,0,20,0,0,27,1638,2272,155,159,20,0,250,1,2,0,20,0,0,27,1638,2272,155,159,20,0,250,1,2,0,20,0,0,27,1638,2272,155,159,20,0,250,1,2,0,20,0,0,27,140
398,949,2,260,6,0,13,0,0,0,6,0,0,264,398,949,2,260,6,0,13,0,0,0,6,0,0,264,398,949,2,260,6,0,13,0,0,0,6,0,0,264,398,949,2,260,6,0,13,0,0,0,6,0,0,264,398,949,2,260,6,0,13,0,0,0,6,0,0,264,141
2113,19165,6029,9956,572,0,25,7,52,0,391,0,0,20,2242,19165,5916,9940,572,0,25,7,52,0,391,0,0,20,2777,19165,5517,9804,572,0,25,7,52,0,391,0,0,20,2777,19165,5517,9798,572,0,25,7,52,0,391,0,0,26,2759,19165,5565,9730,572,0,26,7,52,0,428,0,0,26,142
749,6129,2032,2874,174,0,10,0,27,0,259,0,0,4,756,6129,2025,2874,174,0,10,0,27,0,259,0,0,4,820,6129,1969,2865,174,0,10,0,27,0,259,0,0,5,820,6129,1969,2865,174,0,10,0,27,0,259,0,0,5,818,6129,1971,2864,174,0,10,0,27,0,260,0,0,5,143
2061,3754,312,560,147,0,6,2,3,0,663,0,0,0,2061,3754,312,560,147,0,6,2,3,0,663,0,0,0,2142,3754,231,560,147,0,6,2,3,0,663,0,0,0,2142,3754,231,560,147,0,6,2,3,0,663,0,0,0,2142,3754,231,517,147,0,6,2,3,0,706,0,0,0,144
