,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2019.max,id
157,4.97e-06,4.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,157
158,4.36e-05,0.000222861,0.0,0.0,0.0,0.0,0.0,0.0,158
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160
161,1.08e-05,6.77e-05,0.0,0.0,0.0,0.0,0.0,0.0,161
162,7.04e-07,1.7e-05,4.51e-07,5.87e-09,2.72e-10,2.13e-10,0.0,7.91e-10,162
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167
168,9.77e-07,1.43e-05,0.0,0.0,0.0,0.0,0.0,0.0,168
169,1.19e-05,8.74e-05,0.0,0.0,0.0,0.0,0.0,0.0,169
170,3.06e-05,0.000151444,0.0,0.0,0.0,0.0,0.0,0.0,170
171,0.000533485,0.001589817,0.0,0.0,0.0,0.0,0.0,0.0,171
172,0.00049505,0.001470841,0.0,0.0,0.0,0.0,0.0,0.0,172
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174
175,8.65e-05,0.000392389,0.0,0.0,0.0,0.0,0.0,0.0,175
176,2.83e-05,0.000162281,0.0,0.0,0.0,0.0,0.0,0.0,176
177,2.94e-05,0.000191233,0.0,0.0,0.0,0.0,0.0,0.0,177
178,9.81e-05,0.000391278,5.08e-05,3.89e-06,2.77e-07,2.78e-07,0.0,8.27e-07,178
179,0.000533485,0.001589817,0.0,0.0,0.0,0.0,0.0,0.0,179
180,5.99e-05,0.000297621,0.0,0.0,0.0,0.0,0.0,0.0,180
181,0.000158943,0.000814923,0.0,0.0,0.0,0.0,0.0,0.0,181
182,7.79e-05,0.000379098,0.0,0.0,0.0,0.0,0.0,0.0,182
183,4.57e-05,0.000236343,0.0,0.0,0.0,0.0,0.0,0.0,183
